Context,GeneralAttribute,Label,Objects
drop_audio,material,plastic,"blue_squish_ball,tennis_container_split_peas,yellow_water_bottle,green_water_bottle,yellow_mustard_bottle,red_ketchup_bottle,pale_yellow_cup,green_tall_cup,dark_green_sports_bottle,red_water_bottle"
drop_audio,material,plastic,"blue_tall_cup"
drop_audio,material,metal,"christmas_red_container,tin_can,red_bull_pop_can"
shake_audio,has_contents,filled,"blue_salt_can"
shake_audio,has_contents,empty,"wooden_cylindrical_container"
shake_audio,has_contents,filled,"red_ketchup_bottle,red_water_bottle"
shake_audio,has_contents,empty,"green_water_bottle,regular_creamcheese_box,dark_blue_sunfounder_box,red_tall_cup,big_red_pop_can,yellow_mustard_bottle"
shake_audio,has_contents,empty,"pale_yellow_cup,blue_squish_ball"
shake_audio,has_contents,empty,"blue_tall_cup,red_bull_pop_can"
shake_audio,has_contents,filled,"dark_green_sports_bottle,yellow_water_bottle"
shake_audio,has_contents,empty,"green_tall_cup,christmas_red_container,wooden_knife_stand,scotch_tape_box,stainless_steel_cannister"
shake_audio,has_contents,empty,"silver_cappuccino_maker"
shake_audio,has_contents,empty ,"tin_can"
shake_audio,has_contents,filled,"mac_and_cheese_box,wooden_melon_tea_box,excetrine_medicine_box,tennis_container_split_peas"
push_audio,material,metal,"silver_cappuccino_maker"
push_audio,material,wood,"wooden_knife_stand,wooden_melon_tea_box"
push_audio,material,plastic,"yellow_water_bottle,blue_squish_ball,yellow_mustard_bottle,red_ketchup_bottle,dark_green_sports_bottle"
push_audio,material,paper,"blue_salt_can"
push_audio,material,paper,"excetrine_medicine_box"
push_audio,material,wood,"wooden_cylindrical_container"
push_audio,material,plastic,"red_tall_cup,green_water_bottle,green_tall_cup,blue_tall_cup"
push_audio,material,paper,"dark_blue_sunfounder_box,regular_creamcheese_box"
push_audio,material,plastic,"pale_yellow_cup,red_water_bottle"
push_audio,material,paper,"scotch_tape_box"
push_audio,material,plastic,"tennis_container_split_peas"
push_audio,material,metal,"christmas_red_container,tin_can,stainless_steel_cannister,big_red_pop_can,red_bull_pop_can"
push_audio,material,paper,"mac_and_cheese_box"
press_haptics,deformable,deformable,"dark_blue_sunfounder_box,scotch_tape_box,blue_squish_ball,excetrine_medicine_box,regular_creamcheese_box"
press_haptics,deformable,Non-deformable,"stainless_steel_cannister,wooden_melon_tea_box"
press_haptics,deformable,Non-deformable,"silver_cappuccino_maker,christmas_red_container,green_tall_cup,blue_salt_can,blue_tall_cup"
press_haptics,deformable,deformable,"pale_yellow_cup"
press_haptics,deformable,deformable,"red_ketchup_bottle"
press_haptics,deformable,Non-deformable,"wooden_knife_stand"
press_haptics,deformable,deformable,"yellow_mustard_bottle,red_bull_pop_can"
press_haptics,deformable,Non-deformable,"tin_can,red_tall_cup"
press_haptics,deformable,deformable,"big_red_pop_can,tennis_container_split_peas"
press_haptics,deformable,Non-deformable,"wooden_cylindrical_container,yellow_water_bottle,green_water_bottle,red_water_bottle"
press_haptics,deformable,deformable,"mac_and_cheese_box,dark_green_sports_bottle"
hold_haptics,weight,light,"big_red_pop_can"
hold_haptics,weight,light,"dark_blue_sunfounder_box,scotch_tape_box,pale_yellow_cup,excetrine_medicine_box,yellow_mustard_bottle"
hold_haptics,weight,light,"red_bull_pop_can"
hold_haptics,weight,light,"tin_can,red_tall_cup,blue_squish_ball,regular_creamcheese_box,blue_salt_can"
hold_haptics,weight,heavy,"mac_and_cheese_box,green_water_bottle,red_water_bottle"
hold_haptics,weight,light,"christmas_red_container,stainless_steel_cannister,green_tall_cup,wooden_cylindrical_container,blue_tall_cup"
hold_haptics,weight,heavy,"silver_cappuccino_maker,wooden_knife_stand,wooden_melon_tea_box,red_ketchup_bottle,dark_green_sports_bottle"
hold_haptics,weight,heavy,"yellow_water_bottle"
hold_haptics,weight,heavy,"tennis_container_split_peas"
squeeze_haptics,deformable,deformable,"red_ketchup_bottle"
squeeze_haptics,deformable,deformable,"dark_blue_sunfounder_box"
squeeze_haptics,deformable,deformable,"mac_and_cheese_box"
squeeze_haptics,deformable,Non-deformable,"blue_salt_can"
squeeze_haptics,deformable,deformable,"excetrine_medicine_box,pale_yellow_cup"
squeeze_haptics,deformable,Non-deformable,"silver_cappuccino_maker,red_tall_cup,stainless_steel_cannister,blue_tall_cup,yellow_water_bottle,tin_can,green_water_bottle,green_tall_cup"
squeeze_haptics,deformable,Non-deformable,"wooden_melon_tea_box"
squeeze_haptics,deformable,Non-deformable,"red_water_bottle"
squeeze_haptics,deformable,deformable,"big_red_pop_can,dark_green_sports_bottle,scotch_tape_box,blue_squish_ball"
squeeze_haptics,deformable,deformable,"regular_creamcheese_box,tennis_container_split_peas,yellow_mustard_bottle"
squeeze_haptics,deformable,Non-deformable,"wooden_cylindrical_container,christmas_red_container,wooden_knife_stand"
squeeze_haptics,deformable,deformable,"red_bull_pop_can"
look_shape,shape,cylindrical,"dark_green_sports_bottle,tennis_container_split_peas"
look_shape,shape,cylindrical,"big_red_pop_can"
look_shape,shape,cuboid,"scotch_tape_box"
look_shape,shape,cuboid,"mac_and_cheese_box,wooden_knife_stand,excetrine_medicine_box,dark_blue_sunfounder_box,wooden_melon_tea_box,regular_creamcheese_box"
look_shape,shape,spherical,"blue_squish_ball"
look_shape,shape,cylindrical,"red_water_bottle,stainless_steel_cannister,blue_salt_can,green_tall_cup,wooden_cylindrical_container"
look_shape,shape,cylindrical,"christmas_red_container,yellow_water_bottle,red_tall_cup,green_water_bottle,red_bull_pop_can"
look_shape,shape,cylindrical,"yellow_mustard_bottle,red_ketchup_bottle"
look_shape,shape,cylindrical,"silver_cappuccino_maker,tin_can,pale_yellow_cup,blue_tall_cup"
